aX,aY,aZ,gX,gY,gZ
-0.011,-0.33,0.818,-324.402,69.946,53.284
0.008,-0.352,0.907,-312.073,60.364,50.049
0.014,-0.362,0.947,-294.8,45.166,40.833
-0.005,-0.365,0.975,-278.076,31.006,30.396
-0.015,-0.355,0.963,-259.827,21.179,19.775
-0.022,-0.288,0.892,-244.507,17.334,12.695
-0.041,-0.294,0.843,-233.643,11.963,10.62
-0.033,-0.282,0.814,-234.863,14.16,12.512
0.005,-0.211,0.791,-245.056,28.809,17.578
0.044,-0.165,0.79,-252.93,40.466,22.156
0.068,-0.138,0.84,-260.071,47.058,23.865
0.08,-0.11,0.961,-264.526,51.697,21.423
0.06,-0.096,1.111,-258.423,54.932,14.954
0,-0.064,1.274,-239.746,54.26,6.897
-0.061,-0.023,1.363,-213.257,48.645,-0.854
-0.121,-0.019,1.401,-186.218,37.659,-6.836
-0.184,0.01,1.429,-168.335,24.414,-8.667
-0.215,0.057,1.467,-160.583,12.695,-3.235
-0.248,0.073,1.495,-157.41,5.005,6.287
-0.249,0.07,1.541,-157.532,1.892,17.883
-0.203,0.07,1.613,-160.034,5.676,30.151
-0.14,0.058,1.687,-160.339,17.7,36.682
-0.079,0.054,1.788,-154.358,34.851,37.903
-0.016,0.059,1.934,-139.404,50.903,37.72
0.057,0.029,1.997,-110.291,61.34,36.255
0.056,-0.036,2.257,-73.12,61.096,30.518
0.124,-0.102,2.284,-28.442,57.068,22.583
0.187,-0.082,2.075,14.221,38.635,15.503
0.25,-0.105,1.68,37.964,0.549,3.296
0.247,-0.142,1.364,33.386,-49.255,-8.972
0.153,-0.114,1.234,13.672,-88.562,-17.639
0.047,-0.112,1.164,5.005,-109.009,-17.212
-0.005,-0.108,1.09,10.498,-112,-11.169
-0.015,-0.114,0.953,23.743,-94.36,-9.888
-0.031,-0.132,0.821,32.654,-67.871,-12.329
-0.043,-0.144,0.757,31.982,-42.786,-12.756
-0.059,-0.15,0.744,26.55,-24.231,-12.146
-0.083,-0.163,0.765,21.057,-12.451,-11.902
-0.107,-0.179,0.793,17.578,-4.456,-12.329
-0.128,-0.195,0.805,16.968,-0.122,-12.939
-0.154,-0.203,0.8,16.785,-0.61,-13.123
-0.175,-0.208,0.795,14.526,-4.272,-12.329
-0.192,-0.205,0.798,10.193,-9.46,-10.864
-0.21,-0.194,0.818,5.005,-14.343,-9.338
-0.228,-0.18,0.844,0.366,-14.832,-6.714
-0.23,-0.173,0.876,-1.892,-9.644,-3.845
-0.226,-0.167,0.906,-2.38,-2.014,-2.136
-0.22,-0.16,0.935,-1.343,6.653,-1.953
-0.215,-0.157,0.96,0.427,12.695,-2.319
-0.201,-0.156,0.975,1.709,14.893,-2.075
-0.189,-0.161,0.982,2.258,14.099,-1.038
-0.178,-0.165,0.977,2.991,9.949,-0.122
-0.177,-0.163,0.967,3.54,3.479,-0.061
-0.177,-0.161,0.962,3.784,-3.235,0.122
-0.171,-0.166,0.953,4.456,-7.263,1.038
-0.166,-0.168,0.935,5.92,-7.507,1.648
-0.156,-0.169,0.923,6.104,-5.737,1.892
-0.148,-0.173,0.924,5.554,-3.784,1.77
-0.14,-0.174,0.928,4.639,-1.77,1.648
-0.134,-0.172,0.927,4.15,0.61,1.587
-0.127,-0.176,0.923,3.723,3.174,1.892
-0.117,-0.179,0.924,2.808,4.395,2.075
-0.116,-0.183,0.923,2.686,3.784,1.648
-0.125,-0.187,0.915,3.418,0.977,0.549
-0.136,-0.191,0.906,3.662,-2.319,-0.183
-0.144,-0.191,0.9,3.296,-4.089,-0.671
-0.155,-0.192,0.899,2.747,-4.822,-1.099
-0.162,-0.191,0.894,2.319,-3.784,-0.916
-0.17,-0.187,0.893,1.16,-1.404,-0.244
-0.17,-0.191,0.899,-0.183,1.831,0.61
-0.168,-0.192,0.908,-0.977,5.371,1.343
-0.163,-0.192,0.919,-1.282,7.812,1.709
-0.157,-0.195,0.928,-0.793,8.301,1.343
-0.156,-0.193,0.928,-0.061,7.202,0.732
-0.161,-0.191,0.928,0.183,5.066,0.366
0.072,0.281,2.51,98.267,82.825,4.272
0.153,0.35,2.616,123.657,68.298,-0.244
0.225,0.418,2.633,155.396,41.565,-7.263
0.252,0.502,2.577,189.697,1.648,-17.883
0.234,0.624,2.496,220.886,-47.791,-28.748
0.195,0.732,2.437,244.507,-94.543,-35.156
0.168,0.823,2.375,266.663,-125.549,-35.034
0.156,0.866,2.282,297.729,-136.23,-33.203
0.164,0.94,2.157,333.984,-126.892,-33.081
0.194,0.998,2.002,370.3,-96.008,-38.086
0.242,1.015,1.783,412.598,-57.434,-47.607
0.303,1.02,1.501,461.243,-29.419,-59.814
0.356,1.056,1.207,505.737,-18.799,-73.12
0.378,1.103,0.937,540.71,-22.766,-86.243
0.379,1.106,0.687,566.284,-34.851,-97.534
0.377,1.098,0.45,581.482,-54.871,-104.004
0.372,1.093,0.245,592.468,-85.51,-106.384
0.359,1.134,0.031,603.149,-122.498,-106.567
0.319,1.178,-0.191,609.558,-165.405,-103.21
0.24,1.222,-0.425,609.802,-208.252,-96.191
0.171,1.3,-0.652,609.131,-238.037,-83.862
0.175,1.484,-0.954,615.723,-250.488,-67.81
0.152,1.63,-1.239,630.371,-246.826,-54.077
0.597,2.686,-1.893,625.305,-218.262,-40.527
-0.127,1.493,-2.441,612.061,-176.27,-43.64
-0.22,1.134,-3.086,611.023,-146.118,-73.059
-0.276,1.211,-3.677,497.864,-131.409,-59.692
-0.355,0.88,-3.952,378.662,-144.47,-61.218
-0.371,0.832,-3.952,255.188,-157.043,-59.753
-0.37,0.848,-3.7,141.052,-147.949,-43.701
-0.256,0.804,-3.405,59.692,-110.046,-15.503
-0.059,0.601,-3.139,6.287,-52.185,20.447
0.2,0.318,-2.9,-35.767,8.789,56.274
0.424,0.042,-2.601,-81.055,56.641,82.458
0.544,-0.192,-2.223,-128.967,85.876,91.98
0.512,-0.361,-1.754,-174.072,98.389,89.966
0.377,-0.473,-1.268,-206.604,105.469,82.52
0.259,-0.548,-0.893,-219.299,120.239,71.838
0.179,-0.609,-0.669,-214.294,137.329,69.153
0.131,-0.652,-0.558,-198.486,149.475,74.951
0.138,-0.67,-0.534,-179.504,151.367,79.407
0.146,-0.715,-0.582,-159.424,140.076,71.655
0.129,-0.724,-0.669,-144.592,117.249,53.65
0.056,-0.705,-0.753,-138.489,86.67,32.104
-0.067,-0.666,-0.834,-138.489,57.251,11.902
-0.204,-0.628,-0.911,-143.494,36.804,0.061
-0.298,-0.61,-0.969,-153.992,29.724,-0.793
-0.355,-0.574,-0.97,-169.861,34.18,5.432
-0.381,-0.534,-0.935,-186.035,46.692,12.817
-0.382,-0.498,-0.885,-198.73,62.317,19.714
-0.369,-0.468,-0.797,-208.679,76.538,26.733
-0.334,-0.431,-0.672,-214.966,88.379,32.776
-0.271,-0.408,-0.53,-215.149,94.116,36.804
-0.197,-0.415,-0.421,-208.862,91.492,35.828
-0.144,-0.423,-0.359,-199.28,81.055,28.931
-0.146,-0.408,-0.353,-192.749,62.988,18.86
-0.198,-0.415,-0.4,-195.007,40.833,11.475
-0.261,-0.419,-0.41,-211.975,19.775,12.878
-0.328,-0.378,-0.327,-239.624,10.193,21.973
-0.359,-0.344,-0.168,-263.245,25.33,34.912
-0.315,-0.337,0.068,-274.78,58.777,50.354
-0.202,-0.335,0.282,-269.043,89.966,64.392
-0.091,-0.382,0.408,-248.962,104.797,68.665
-0.022,-0.445,0.428,-225.891,96.558,59.509
-0.013,-0.456,0.427,-213.013,67.81,47.363
-0.059,-0.47,0.416,-208.984,31.189,37.17
-0.139,-0.47,0.411,-214.417,6.104,31.738
-0.208,-0.465,0.478,-230.103,-2.502,34.973
-0.229,-0.43,0.623,-247.986,6.836,45.227
-0.223,-0.447,0.802,-256.409,27.588,57.922
-0.237,-0.435,1.075,-256.531,48.767,68.481
-0.121,-0.438,1.287,-264.465,85.083,76.355
0.046,-0.555,1.333,-252.869,117.554,85.876
0.06,-0.7,1.24,-215.82,99.121,78.613
0.004,-0.699,1.203,-197.998,61.584,59.021
0.012,-0.665,1.153,-185.608,23.56,42.786
-0.032,-0.666,0.991,-162.231,-16.235,27.283
-0.141,-0.607,0.779,-146.362,-44.189,13.611
-0.184,-0.561,0.696,-152.1,-54.993,15.381
-0.168,-0.499,0.758,-172.546,-40.649,28.931
